ID,UPA,EventDate,Employer,Address1,Address2,city,state,Zip,Latitude,Longitude,Primary_NAICS,Hospitalized,Amputation,Loss_Of_Eye,Inspection,FinalNarrative,Nature,NatureTitle,Part_of_Body,Part_of_Body_Title,Event,EventTitle,Source,sourceTitle,Secondary_Source,Secondary_Source_Title
"2025099103","2348030","2025-09-11","Helmerich & Payne Drilling, Inc.","Rig 625 Helmerich & Payne","","KERMIT","TEXAS","79745","","","213111","0","1","0","","While bringing a torque tube and grabber box in to close the grabber door, an employee went to shift the torque tube with his right hand. When he reached up with his left hand, the grabber box slid down and partially amputated his left thumb.","1220"," Amputations, avulsions, enucleations  unspecified","4422"," Thumb(s)","60"," Contact incidents  unspecified","3250"," Drilling and extraction machinery  unspecified","990"," Source, secondary source  unspecified"
"2025076653","2317836","2025-07-09","Axis Energy Services","7505 W. Interstate 20 Service Rd","","ODESSA","TEXAS","79763","31.8","-102.44","213111","1","0","0","","During maintenance of an annular blowout preventer, air pressure was applied to dislodge a stuck internal piston. The piston ejected and struck an employee's left bicep, causing a laceration and a fracture.","1823"," Fractures and surface, flesh wounds ","421"," Upper arm(s)","6422"," Struck by dislodged or detached object(s)","4621"," Combustion engine blocks, cylinders, pistons","3254"," Wellhead valves"
"2025077257","2326331","2025-07-25","Dee Drilling Co","Unknown Highway 130","Well between Albion & Grayville","ALBION","ILLINOIS","62806","42.18","-84.29","213111","2","0","0","1840053","Three employees were servicing and cleaning an oil well when a fire occurred. All three employees were burned. One employee was treated and released. Two employees were hospitalized and one hospitalized employee required surgery.","1520"," Thermal burns  degree unspecified","990"," Part of body  unspecified","324"," Vehicle or machinery fire ","3250"," Drilling and extraction machinery  unspecified","990"," Source, secondary source  unspecified"
"2025087589","2329992","2025-08-01","Mai Oil Operations, Inc.","North of Intersection of R Road and 360 Ave, in the SW/4 sec 29-13-21W","","ELLIS","KANSAS","67637","38.94","-99.56","213111","1","0","0","1841991","An employee was preparing to install a wrist pin that was suspended by a winch truck into a pumping unit when the winch truck pole fell, striking them. The employee sustained a head laceration and crushing injuries to the cervical and thoracic regions of their spine.","103"," Nonfatal 'crushing' injuries","821"," Neck and back","640"," Struck by propelled, falling, or suspended object  unspecified","479"," Vehicle and mobile equipment parts  n.e.c.","8421"," Tow truck"
"2025087666","2331003","2025-08-04","J A Drake Well Servicing Co","Lat 37.179137 Long -107.897769 La Plata County Rd 213","","DURANGO","COLORADO","81301","37.04","-107.87","213111","1","0","0","","An employee was guiding a work truck as it backed up to a float trailer when they were caught between the truck and the trailer. The employee sustained soft tissue injuries to their abdomen and back.","140"," Soft tissue injuries  unspecified","38"," Multiple trunk locations","2533"," Pedestrian struck by vehicle backing up in nonroadway area","8430"," Trucks  unspecified","991"," Secondary source not applicable"
"2025087784","2332678","2025-08-07","Cactus Drilling Company, LLC","600 - 610 Zamora Road","Rig 140","LAREDO","TEXAS","78045","27.47","-99.45","213111","0","1","0","","A 5.5-inch production casing was being rolled. An employee was loading it onto a hydraulic catwalk when their left little fingertip was crushed between casing and the casing roller ramp. The fingertip was amputated behind the nailbed.","1220"," Amputations, avulsions, enucleations  unspecified","4421"," Finger or thumb tip(s), nail(s)","6619"," Injured by object handled by person  n.e.c.","4223"," Pipes, tubes  metal","3250"," Drilling and extraction machinery  unspecified"
"2025087910","2334062","2025-08-11","Nick MB Enterprises, LLC","Bear Den location Deep Creek 44x-5 pad","","WATFORD CITY","NORTH DAKOTA","58854","47.88","-103.26","213111","1","0","0","","An employee was restarting a compressor when he bumped into the side of a staircase and suffered a bruised leg. The employee was hospitalized. ","134"," Bruises, contusions ","520"," Leg(s)  unspecified","6659"," Struck against stationary object  n.e.c.","6611"," Stairs, steps","991"," Secondary source not applicable"
"2025088305","2338470","2025-08-20","Independence Contract Drilling, Inc.","Rig 332","","PECOS","TEXAS","79772","31.46","-103.39","213111","0","1","0","","On August 20, 2025, at 8:00 a.m., two employees were removing a suction module on a mud pump. Three bolts were sheared off and the fourth bolt was frozen, making it difficult to remove the module. The employees used a 5-foot pry bar inserted in the bolt hole to free up the module while a forklift bumped and lifted the module using a two-part sling. When the forklift bumped the module, the module came free, causing the pry bar to jump and pinch the injured employee's left little finger against the pulsation dampener, which resulted in a partial fingertip amputation.","1220"," Amputations, avulsions, enucleations  unspecified","4421"," Finger or thumb tip(s), nail(s)","6611"," Injured by object held or wielded by person","7194"," Crowbars","8621"," Forklift, order picker, platform truck powered"
"2025088412","2340064","2025-08-23","Diamondback Energy","Apollo 38-1 #233","","TARZAN","TEXAS","79783","32.3","-101.94","213111","1","0","0","","An employee was working to pull and inspect a plunger. While working to move the bumper spring further up for retrieval using gas pressure, the bumper spring ejected forcefully into the air, falling back down, and striking the employee on the back of the hard hat. The employee sustained a brain bleed and concussion, and fractures to their neck/cervical spine.","1811"," Injuries to the brain, spinal cord and severe wounds, internal injuries","811"," Head and neck","6422"," Struck by dislodged or detached object(s)","4623"," Springs, coils","3250"," Drilling and extraction machinery  unspecified"
"2025088688","2342979","2025-08-30","Cactus Drilling Company, LLC","428 Harmony Road","","SAN AUGUSTINE","TEXAS","75972","31.87","-94.09","213111","1","0","0","","An employee was watching the landing joint being lowered into the rotary table when it clipped the slip bowl, causing the slip bowl to flip over and strike the employee's legs. The employee's right femur was fractured and they sustained a fracture to the left leg below the knee. The employee was hospitalized.","124"," Fractures   ","5289"," Multiple leg locations  n.e.c.","6439"," Struck by other falling object  n.e.c.","3253"," Rotary system equipment","3253"," Rotary system equipment"
"2025098921","2345564","2025-09-06","Squared Away Energy Services","Near 5600 Country Rd 3000 (Cox Rd-3405, left Keystone Rd)","Patterson Oil Rig Site #271","PEARSALL","TEXAS","78061","28.83","-98.99","213111","0","1","0","1849390","An employee was rigging chain slings to a centrifuge stand for a crane to lift it. Their right index finger became caught in the rigging, resulting in a partial amputation.","1220"," Amputations, avulsions, enucleations  unspecified","4429"," Other finger(s)  n.e.c.","664"," Caught or wedged between objects  nonrunning","4422"," Chains","990"," Source, secondary source  unspecified"
"2025066189","2312531","2025-06-27","Patterson-UTI Drilling Company, LLC","Rig 580","GPS_Coordinates: 40.32502604, -081.27783458","UHRICHSVILLE","OHIO","44683","40.39","-81.34","213111","1","0","0","","An employee was standing on a piece of equipment called a K-brace, approximately 3.5 feet off the ground. He was working to assemble part of the K-brace. He was driving a metal pin with a sledgehammer and put the sledgehammer on the ground. He then hopped off the K-brace backward and struck the handle of the sledgehammer as he came to the ground. The employee was hospitalized with a laceration to his left buttocks and a fractured tailbone.","124"," Fractures   ","324"," Back  coccygeal region","4141"," Other fall to lower level  less than 6 feet","990"," Source, secondary source  unspecified","7152"," Sledges, sledgehammers"
