DOCUMENT_NO,NARRATIVE,label,DEGREE_INJURY,IMMED_NOTIFY,ACTIVITY,OCCUPATION,SUBUNIT,CLASSIFICATION,MINE_ID,CONTRACTOR_ID,CAL_YR
220260970021,"The employee was assigned to inspect the clinker weigh feeder due to clinker chunks that could plug the system. They lowered themselves through the safety cage to reach the clinker weigh feeder, dropping their hard hat as they moved. They hit the pins with their head as they moved up, causing a laceration.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Machine maintenance,"Miner, Prospector, NEC","STRIP, QUARY, OPEN PIT",STRIKING OR BUMPING,0400011,,2026
220261040010,"At 9:35 safety was notified that the #3 hoist, our primary escapeway was not operating properly. Crews were evacuated out the secondary escapeway. It was found there were bad sensors. The sensors were replaced and the hoist returned to service later that afternoon.",1,ACCIDENT ONLY,HOISTING,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,HOISTING,1000082,,2026
220261560001,"Intersection in the tailgate of the longwall fell above anchor point. Ventilation was not disrupted, nobody was injured, and the longwall has mined through the bad area.",1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,4800152,,2026
220260560015,Employee was stripping/cutting the exterior jacket of the 25kv cable when the insulation removal tool (knife) slipped and cut across the top the left index finger.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Electrical maintenance,"Miner, Prospector, NEC","STRIP, QUARY, OPEN PIT",HANDTOOLS (NONPOWERED),2900708,T322,2026
220261000001,At approximately 8:50pm a ground fall was reported in the MBD2894. The ground fall occured on day shift and was witnessed by two geo techs. Approximately 150 Tonnes of material fell.,1,ACCIDENT ONLY,ROOF FALL,NO VALUE FOUND,NO VALUE FOUND,UNDERGROUND,FALL OF ROOF OR BACK,2602286,,2026
220261820003,"While attempting to repair a leak on the antiscalant line, the EE was inspecting the piping to determine the correct diameter and obtain the appropriate fittings for the repair. The EE released the line, causing it to suddenly recoil and whip back. As a result, antiscalant solution was splashed toward the EE's face, bypassing the safety glasses and entering EE's right eye.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Inspect equipment or mine,"Assayer, Geologist, Metallurgist, Engineer, Engineer management","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,0201049,,2026
220262250003,Employee was removing ground plates from transportation holder & cut their RT middle finger on a sharp edge. They sought treatment and were given 6 stitches. Company was notified on 07/29/2026. Reporting within 10 days.,0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,Handling supplies or material,"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,2003293,,2026
220261410021,"Ee was stepping out of conex holding a box of uniforms and EE rolled EE's right foot on the lift gate. Seen at clinic, diagnosed with right ankle strain, and released with restrictions that do not preclude EE's full duty as a planner.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Walking, Running","Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",SURFACE AT UNDERGROUND,SLIP OR FALL OF PERSON,2602286,,2026
220262430005,"07/30/26, Employee was operating an off-road truck when EE volunteered to shovel at the plant. After 15 minutes, EE reported lower back soreness, notified EE's supervisor, declined treatment, and went home. 08/04/26, EE reported lower back pain while operating the truck and was evaluated. MRI identified a herniated disc. Employee is pain-free and released without restrictions.",0,"NO DYS AWY FRM WRK,NO RSTR ACT",NO VALUE FOUND,"Hand load, Hand shoveling","Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman","STRIP, QUARY, OPEN PIT",HANDLING OF MATERIALS,4105771,,2026
220261950040,At the time of filing it is believed the miner was riding on the back of a railcar when the railcar derailed and pinned the miner between the railcar and a nearby structure. The miner was transported to a medical facility where EE the following day.,1,FATALITY,DEATH,"Surface equipment, NEC","Utility man, Shift tech, Service/Dump truck operator",MILL OPERATION/PREPARATION PLANT,POWERED HAULAGE,3400282,,2026
